chapter,figure,script,present,caption,note
1,1.1,ch01/make_figures.py,yes,"A timeline of speech processing, from dynamic time warping and HMM-GMM systems through the deep-learning turn to end-to-end and foundation models, with Arabic milestones embedded on the same timeline. General milestones ",
1,1.2,ch01/make_figures.py,yes,"How a spoken request becomes an action: the microphone captures the opening scene's dialectal utterance, a front end extracts features, the recognizer produces text, an understanding component extracts intent and slots, ",
2,2.1,ch02/make_fig2_1.py,yes,"The source-filter model of speech. Air from the lungs drives the vocal folds, which chop it into pulses at the rate F0: that is the source. The vocal tract is the filter, and the shape of the tube decides which frequenci",
2,2.2,ch02/make_fig2_2.py,yes,"The Arabic consonant inventory arranged by place and manner of articulation, with the emphatic, pharyngeal, and uvular consonants highlighted.",
2,2.3,ch02/make_fig2_3.py,yes,"plots the vowels in the F1-by-F2 space that Section 2.1 introduced. The height of a vowel (how closed the mouth is) runs along F1, and its frontness or backness runs along F2, so /i/ sits high and front, /u/ high and bac",
2,2.4,ch02/make_fig2_4.py,yes,"Spectrograms of the minimal pair تين (tīn, ‘figs’) and طين (ṭīn, ‘mud’), recorded by the author. The vowel is the same in both, but next to the emphatic the second formant (F2), traced in orange, starts much lower, about",
2,2.5,ch02/make_fig2_5.py,yes,"Positional letter shapes. A fully joining letter takes four shapes (isolated, initial, medial, final), while a non-joining letter such as rāʾ ر has only two, because it does not connect to the letter that follows it. Par",
2,2.6,ch02/make_fig2_6.py,yes,"Root-and-pattern morphology: the root k-t-b interleaved with several patterns to produce a family of related words. The three root circles run right to left, as Arabic is read, and each carries its Latin equivalent benea",
2,2.7,ch02/make_fig2_7.py,yes,"The major spoken-Arabic dialect groups across the Arab world, each with its own fill and hatch pattern. The boundaries are gradual zones, not sharp lines: neighboring groups shade into one another along the continuum, an",
3,3.1,,no,"places this chapter inside the larger workflow that turns a raw voice recording into a model-ready dataset: record, save, segment, annotate or transcribe, preprocess, extract features, normalize, augment, and split. Step",
3,3.2,,no,"zooms in on the feature-extraction part of that workflow, the sound-to-features path that is the main technical focus of this chapter.",
3,3.3,ch03/make_fig3_3.py,yes,"Sampling and quantization. A continuous wave is measured at regular instants (sampling) and each measurement is rounded to the nearest level (quantization), producing a list of integers.",
3,3.4,,no,"Short-time analysis: the waveform is split into overlapping frames, each frame is multiplied by a smooth window, and the Fourier transform of each frame gives its spectrum. Stacking frames produces the Short-Time Fourier",
3,3.5,ch03/make_fig3_5.py,yes,"Narrowband and wideband spectrograms of the emphatic word طين (ṭīn, ‘mud’) and its plain counterpart تين (tīn, ‘figs’), from the author’s recording used in Chapter 2. The long window on the left resolves the individual h",
3,3.6,ch03/make_fig3_6.py,yes,"The mel filterbank. Triangular filters are spaced evenly on the perceptual mel scale, which places many narrow filters at low frequencies and fewer wide filters at high frequencies; the inset shows the mel-versus-hertz c",
3,3.7,,no,"The Mel-Frequency Cepstral Coefficient (MFCC) pipeline, from optional pre-emphasis through the mel filterbank and logarithm to the Discrete Cosine Transform that yields the coefficients.",
